title,price,rating,availability,source_url,listing_page,upc,category,price_excl_tax,price_incl_tax,tax,available_units,reviews
The Black Maria,52.15,1,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,1,1dfe412b8ac00530,Poetry,52.15,52.15,0.0,19,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1,e10e1e165dc8be4a,Default,22.6,22.6,0.0,19,0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1,e72a5dfc7e9267b2,Default,17.93,17.93,0.0,19,0
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1,2597b5a345f45e1b,Business,33.34,33.34,0.0,19,0
The Requiem Red,22.65,1,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1,f77dbf2323deb740,Young Adult,22.65,22.65,0.0,19,0
Tipping the Velvet,53.74,1,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1,90fa61229261140a,Historical Fiction,53.74,53.74,0.0,20,0
Aladdin and His Wonderful Lamp,53.13,3,In stock,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2,904208d6aa64b655,Default,53.13,53.13,0.0,19,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2,c7d160c2c0de586f,Default,22.5,22.5,0.0,19,0
Behind Closed Doors,52.22,4,In stock,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,2,be5cc846f45496fb,Thriller,52.22,52.22,0.0,18,0
Birdsong: A Story in Pictures,54.64,3,In stock,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2,9528d0948525bf5f,Childrens,54.64,54.64,0.0,19,0
Black Dust,34.53,5,In stock,https://books.toscrape.com/catalogue/black-dust_976/index.html,2,00bfed9e18bb36f3,Romance,34.53,34.53,0.0,19,0
Chase Me (Paris Nights #2),25.27,5,In stock,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2,c2e46a2ee3b4a322,Romance,25.27,25.27,0.0,19,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2,5674a18a29a43ced,Food and Drink,30.52,30.52,0.0,19,0
How Music Works,37.32,2,In stock,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2,327f68a59745c102,Music,37.32,37.32,0.0,19,0
In Her Wake,12.84,1,In stock,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,2,23356462d1320d61,Thriller,12.84,12.84,0.0,19,0
"In a Dark, Dark Wood",19.63,1,In stock,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,2,19ed25f4641d5efd,Mystery,19.63,19.63,0.0,18,0
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2,094b269567e1c300,Default,18.02,18.02,0.0,18,0
Penny Maybe,33.29,3,In stock,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,2,668fe56b17cfcd4f,Default,33.29,33.29,0.0,18,0
Sophie's World,15.94,5,In stock,https://books.toscrape.com/catalogue/sophies-world_966/index.html,2,6be3beb0793a53e7,Philosophy,15.94,15.94,0.0,18,0
The Bear and the Piano,36.89,1,In stock,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,2,9f6568e9c95f60b0,Childrens,36.89,36.89,0.0,18,0
The Elephant Tree,23.82,5,In stock,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,2,5dada2b7be26bd03,Thriller,23.82,23.82,0.0,18,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2,3c039985229453bf,Nonfiction,31.05,31.05,0.0,18,0
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2,6258a1f6a6dcfe50,Spirituality,17.66,17.66,0.0,18,0
Wall and Piece,44.18,4,In stock,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2,ccd9ffa25efabdea,Art,44.18,44.18,0.0,18,0
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2,4c28def39d850cdf,Nonfiction,40.3,40.3,0.0,18,0
You can't bury them all: Poems,33.63,2,In stock,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2,55f9da0c5eea2e10,Poetry,33.63,33.63,0.0,17,0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,3,c27f6e1f185b0383,Nonfiction,23.11,23.11,0.0,17,0
Private Paris (Private #10),47.61,5,In stock,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,3,b12b89017878a60d,Fiction,47.61,47.61,0.0,17,0
Reasons to Stay Alive,26.41,2,In stock,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,3,c8f7f0cb1abb9cac,Nonfiction,26.41,26.41,0.0,17,0
Slow States of Collapse: Poems,57.31,3,In stock,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,3,b4fd5943413e089a,Poetry,57.31,57.31,0.0,17,0
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,3,cedf82b5086e4691,Young Adult,45.22,45.22,0.0,16,0
The Past Never Ends,56.5,4,In stock,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,3,5ee94540d0749ea0,Mystery,56.5,56.5,0.0,16,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,3,142d767a56a9254d,Food and Drink,56.41,56.41,0.0,16,0
The Secret of Dreadwillow Carse,56.13,1,In stock,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,3,b5ea0b5dabed25a8,Childrens,56.13,56.13,0.0,16,0
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,3,4eed62cf5f8d8edf,Add a comment,19.09,19.09,0.0,16,0
Thirst,17.27,5,In stock,https://books.toscrape.com/catalogue/thirst_946/index.html,3,709822d0b5bcb7f4,Fiction,17.27,17.27,0.0,16,0
This One Summer,19.49,4,In stock,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,3,51653ef291ab7ddc,Sequential Art,19.49,19.49,0.0,16,0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,3,7858914fad68493c,Nonfiction,31.12,31.12,0.0,16,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,3,09555be379ad9253,Sequential Art,16.28,16.28,0.0,16,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,3,9a9d6e9bc555731e,History,25.52,25.52,0.0,16,0
Unicorn Tracks,18.78,3,In stock,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,3,7ae099f3898e0209,Fantasy,18.78,18.78,0.0,16,0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,3,d170b5a0da46380e,Nonfiction,44.18,44.18,0.0,16,0
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,3,657fe5ead67a7767,Poetry,14.27,14.27,0.0,16,0
"We Love You, Charlie Freeman",50.27,5,In stock,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,3,8d455c7539795d2a,Fiction,50.27,50.27,0.0,16,0
When We Collided,31.77,1,In stock,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,3,3ecb690d1542c568,Contemporary,31.77,31.77,0.0,16,0
Without Borders (Wanderlove #1),45.07,2,In stock,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,3,acddfeab2a407640,New Adult,45.07,45.07,0.0,16,0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,4,c82a3e358c773c73,Sequential Art,50.4,50.4,0.0,16,0
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,4,d7310206583a54b6,Nonfiction,19.83,19.83,0.0,16,0
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,4,53a3d11bb568cc8b,Sequential Art,51.04,51.04,0.0,16,0
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,4,c849f0b2f5d6a742,Fantasy,25.02,25.02,0.0,16,0
Security,39.25,2,In stock,https://books.toscrape.com/catalogue/security_925/index.html,4,6f78a0d744c35456,Horror,39.25,39.25,0.0,16,0
Soul Reader,39.58,2,In stock,https://books.toscrape.com/catalogue/soul-reader_926/index.html,4,e6af5bf1163c1151,Default,39.58,39.58,0.0,16,0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,4,87b0615b6e1f4d7b,Nonfiction,41.83,41.83,0.0,16,0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,4,7d6d2a6c0276f81b,Spirituality,32.24,32.24,0.0,16,0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,4,a3d2a4250807f1e9,History,19.73,19.73,0.0,16,0
The Art Forger,40.76,3,In stock,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,4,80cfab6bcff3a244,Add a comment,40.76,40.76,0.0,16,0
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,4,43c6a960757cf559,Health,49.05,49.05,0.0,16,0
The Death of Humanity: and the Case for Life,58.11,4,In stock,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,4,bd261725b99f5983,Philosophy,58.11,58.11,0.0,16,0
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,4,a30b270e25489e5c,Nonfiction,56.06,56.06,0.0,16,0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,4,acd86a5426e21ca0,Nonfiction,37.13,37.13,0.0,16,0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,4,8c9e6bf2467d740d,Default,20.59,20.59,0.0,16,0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,4,0da9aa9d24677fc0,Nonfiction,16.77,16.77,0.0,16,0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,4,31075275518532d7,Add a comment,23.89,23.89,0.0,16,0
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,4,aadee1c326d286e3,Science,42.96,42.96,0.0,16,0
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,4,d01ac97e2b8947c2,Fiction,54.11,54.11,0.0,16,0
The Nameless City (The Nameless City #1),38.16,4,In stock,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,4,7d385d34d12e60ff,Sequential Art,38.16,38.16,0.0,16,0
In the Country We Love: My Family Divided,22.0,4,In stock,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,5,b136b1b180ca753a,Nonfiction,22.0,22.0,0.0,16,0
Join,35.67,5,In stock,https://books.toscrape.com/catalogue/join_902/index.html,5,18ad3ed896c7ce05,Science Fiction,35.67,35.67,0.0,16,0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,5,228f74b74f3a08ae,Add a comment,53.9,53.9,0.0,16,0
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,5,7b75cc7f223791f4,Food and Drink,40.11,40.11,0.0,16,0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,5,57e5a4d515c8ce44,Sequential Art,19.92,19.92,0.0,16,0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,5,b6ee99bcf06fc91f,Sequential Art,45.61,45.61,0.0,16,0
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,5,460089f796fb3f82,Sequential Art,46.91,46.91,0.0,16,0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,5,72f9d5be3472d34e,Food and Drink,14.02,14.02,0.0,16,0
Masks and Shadows,56.4,2,In stock,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,5,fa9610a50a1bf149,Fantasy,56.4,56.4,0.0,16,0
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,5,784bc2279baa878d,Food and Drink,33.37,33.37,0.0,16,0
Obsidian (Lux #1),14.86,2,In stock,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,5,3c346ab1e76ae1f6,Young Adult,14.86,14.86,0.0,16,0
On a Midnight Clear,14.07,3,In stock,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,5,b757c0c361e689ce,Add a comment,14.07,14.07,0.0,16,0
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,5,9ffa38d3b832433a,Self Help,46.35,46.35,0.0,16,0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,5,889139b8e9c4cb36,Sequential Art,15.44,15.44,0.0,16,0
Patience,10.16,3,In stock,https://books.toscrape.com/catalogue/patience_916/index.html,5,9429b4d59c537af5,Sequential Art,10.16,10.16,0.0,16,0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,5,7392c0032f92d816,History,36.28,36.28,0.0,16,0
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,5,e80f8e518b300dfe,Sequential Art,18.97,18.97,0.0,16,0
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,5,0e691eda369f4e09,Fantasy,13.34,13.34,0.0,16,0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,5,0fa6dceead7ce47a,Sequential Art,13.61,13.61,0.0,16,0
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,5,11809b1d323b3057,Sequential Art,48.41,48.41,0.0,16,0
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,In stock,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,6,6d5300b2d8f37e07,Fantasy,28.09,28.09,0.0,16,0
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,In stock,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,6,bdf415fd484ea8a7,Sequential Art,37.92,37.92,0.0,16,0
Bossypants,49.46,2,In stock,https://books.toscrape.com/catalogue/bossypants_883/index.html,6,74baabfc8fd84b38,Default,49.46,49.46,0.0,16,0
Burning,28.81,3,In stock,https://books.toscrape.com/catalogue/burning_884/index.html,6,5ceb951f629700a2,Young Adult,28.81,28.81,0.0,16,0
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,In stock,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,6,bee3672891cca906,Nonfiction,29.14,29.14,0.0,16,0
Camp Midnight,17.08,4,In stock,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,6,7b599c8bfcdd8d30,Sequential Art,17.08,17.08,0.0,16,0
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,In stock,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,6,8754c83ab2a7ae71,Sequential Art,36.72,36.72,0.0,16,0
Crown of Midnight (Throne of Glass #2),43.29,3,In stock,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,6,7267864328ae8b9d,Fantasy,43.29,43.29,0.0,16,0
Danganronpa Volume 1,51.99,4,In stock,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,6,09b6cc87e62c2c58,Sequential Art,51.99,51.99,0.0,16,0
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,In stock,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,6,fce19f9b4a943f22,Religion,37.97,37.97,0.0,16,0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,In stock,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,6,311c0dd0e354a33e,Nonfiction,54.35,54.35,0.0,16,0
Fifty Shades Darker (Fifty Shades #2),21.96,1,In stock,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,6,7add3f8e49ec0826,Romance,21.96,21.96,0.0,16,0
First and First (Five Boroughs #3),15.97,4,In stock,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,6,9e28048cea8d41f7,Romance,15.97,15.97,0.0,16,0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,6,9beb96a2300109d7,Historical Fiction,29.69,29.69,0.0,16,0
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,In stock,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,6,f2df3bb043a8abb0,Sequential Art,22.11,22.11,0.0,16,0
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,In stock,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,6,2a97cffe61c3c4c7,Romance,33.97,33.97,0.0,16,0
How to Be Miserable: 40 Strategies You Already Use,46.03,1,In stock,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,6,a6f99b9e687f9d46,Self Help,46.03,46.03,0.0,16,0
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,In stock,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,6,8d4eefad7a2b3915,Sequential Art,29.17,29.17,0.0,16,0
I am a Hero Omnibus Volume 1,54.63,3,In stock,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,6,1c89ae5bb804e4de,Sequential Art,54.63,54.63,0.0,16,0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,In stock,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,6,e4f74c16de34d440,Science,57.36,57.36,0.0,16,0
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,In stock,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,7,e4ac92d89b946781,Christian,54.0,54.0,0.0,16,0
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,In stock,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,7,01d2001ac1e6f8a3,Fantasy,52.37,52.37,0.0,16,0
A Fierce and Subtle Poison,28.13,4,In stock,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,7,842790dfaa937484,Young Adult,28.13,28.13,0.0,16,0
